Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
      14      20       8
        Tdev         Tsd       RHdev        RHsd       DPdev        DPsd         lat         lon        ndvi      albedo        area      height   elevation   water500m
     -0.1042     -0.1410     -0.6483     -0.6869     -1.4892     -0.4129     40.8184    -73.9433      0.1975      0.1969      0.2522     20.3606      8.7730      0.0000
     -0.7247     -0.7831     -0.4059     -0.5066      0.5176      0.2535     40.8109    -73.9630      0.2935      0.1604      0.1687     20.1057     35.6290      0.1088
     -0.2818     -0.4129     -0.0824     -0.2072      0.3588      0.1891     40.8102    -73.9614      0.2935      0.1604      0.1687     20.1057     34.6828      0.0317
     -0.3447     -0.4871     -0.2324     -0.3938      0.3194      0.1558     40.8095    -73.9597      0.2821      0.1714      0.2594     18.7775     32.8766      0.0000
      0.0006     -0.1327      0.1976      0.0707      0.6053      0.2303     40.8089    -73.9580      0.1988      0.1761      0.3734     17.1069     34.9108      0.0000
     -0.4259     -0.5168      0.0447     -0.0792      1.3629      0.4357     40.8084    -73.9568      0.1727      0.1693      0.3477     15.7702     12.1042      0.0000
     -0.1688     -0.2522      0.1429      0.0067      0.8241      0.2733     40.8078    -73.9554      0.1610      0.1702      0.4146     15.3342     10.4320      0.0000
      0.1018     -0.0485      0.2206      0.0368      0.1529      0.1051     40.8071    -73.9537      0.1610      0.1702      0.4146     15.3342      9.3955      0.0000
      0.1453      0.0153     -0.1388     -0.3187     -0.6965     -0.2211     40.8063    -73.9520      0.1807      0.1651      0.4533     15.3218      8.6730      0.0000
      0.0776     -0.0149     -0.1918     -0.3391     -0.7206     -0.2242     40.8056    -73.9503      0.2696      0.1412      0.1678     16.7378      8.3805      0.0000
      0.2000      0.1015      0.0088     -0.1831     -0.4776     -0.1628     40.8049    -73.9486      0.2696      0.1412      0.1678     16.7378      7.9795      0.0000
      0.0806     -0.0298     -0.1500     -0.3864     -0.6112     -0.1940     40.8042    -73.9469      0.3918      0.1463      0.1941     16.7580      7.1757      0.0000
     -0.1859     -0.3207     -0.0065     -0.2514      0.4971      0.1254     40.8035    -73.9452      0.2057      0.1544      0.3170     16.3963      8.0919      0.0000
      0.0100     -0.1795      0.2635      0.0150      0.7424      0.2373     40.8028    -73.9436      0.2057      0.1544      0.3170     16.3963      8.7740      0.0000
     -0.0953     -0.2011     -0.0171     -0.2191      0.2029      0.0895     40.8022    -73.9421      0.1829      0.1609      0.3769     14.7306      8.8378      0.0000
      0.2700      0.1515      0.2988      0.1158      0.0076      0.0777     40.8015    -73.9406      0.2326      0.1507      0.3056     22.8743      7.4081      0.0000
