Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
           8          20           8
   Tdiff       Tdev        RHdiff      RHdev       DPdiff      DPdev       Lat        Lon
 -2.4247     -3.1551      1.3871      1.3288      4.8291      3.0777     40.7383    -74.0081
 -2.6614     -3.3560      2.3544      2.2453      7.0415      4.1379     40.7369    -74.0082
 -2.5240     -3.1862      3.0599      2.8811      8.0784      4.3736     40.7355    -74.0083
 -2.0460     -2.5761      3.5487      3.2802      9.1250      4.2786     40.7341    -74.0085
 -2.9596     -3.4902      2.1070      1.9964      9.3144      3.7987     40.7326    -74.0086
 -2.5420     -3.1625      2.4932      2.1513      9.2487      3.7424     40.7312    -74.0089
 -2.7257     -3.3370      1.3932      1.4162      8.1409      3.0970     40.7298    -74.0092
 -0.4219     -0.4506      3.1289      2.9456      7.3537      3.0166     40.7284    -74.0095
 -0.0866     -0.0222      3.7973      3.4418      6.8117      3.0472     40.7270    -74.0097
 -0.7171     -0.8126      1.2769      1.2312      3.2899      1.3269     40.7257    -74.0100
  0.9010      1.2446      2.5883      2.4262      1.6666      0.7610     40.7242    -74.0102
 -0.5246     -0.3792      0.8272      0.9523      1.1903      0.6158     40.7225    -74.0105
 -3.0261     -3.4531     -0.4418     -0.4819      2.4238      1.7414     40.8044    -73.9353
 -2.4959     -3.0926     -0.0393     -0.1990      2.8491      1.6928     40.8031    -73.9361
 -1.0335     -1.2559      0.4538      0.3283      2.3616      1.0527     40.8019    -73.9371
 -0.8843     -1.1685     -0.8434     -0.8748     -0.1679     -0.0211     40.8007    -73.9380
  0.2631      0.2860      0.2414      0.1602     -0.1513     -0.1068     40.7995    -73.9388
  0.2613      0.2471     -0.0285     -0.1250     -0.4003     -0.2468     40.7983    -73.9397
  0.1568      0.0998     -0.6062     -0.6141     -0.9853     -0.5605     40.7970    -73.9406
 -0.4091     -0.6149     -0.9586     -0.9982     -0.6765     -0.3648     40.7958    -73.9415
  0.4589      0.5013      0.6091      0.5564      0.3607      0.4106     40.7946    -73.9424
  1.9698      2.3625      0.6809      0.5603     -0.8699     -0.4972     40.7934    -73.9433
  1.4367      1.8562     -0.3019     -0.3112     -1.9070     -1.1667     40.7921    -73.9442
 -0.8702     -0.8491     -1.5189     -1.4924     -1.0552     -0.7320     40.7909    -73.9451
  0.1813      0.2313      0.8712      0.7121      0.7577      0.4537     40.7897    -73.9460
  0.6787      1.0108      0.5923      0.5595     -0.1616     -0.0016     40.7885    -73.9469
  0.3448      0.4804      0.1515      0.0557     -0.2184     -0.0911     40.7872    -73.9478
  0.6588      0.9114     -0.1288     -0.1474     -1.0481     -0.5203     40.7860    -73.9487
 -0.0161      0.2006     -1.4163     -1.2026     -1.9599     -1.0902     40.7848    -73.9496
  0.1592      0.5000     -0.4097     -0.3914     -0.8131     -0.5274     40.7836    -73.9505
  1.0743      1.4864      0.3156      0.3020     -1.0133     -0.6690     40.7823    -73.9514
  1.1607      1.5664     -0.5788     -0.5177     -1.8339     -1.5003     40.7809    -73.9524
  0.5212      0.7891     -0.7463     -0.9316     -1.1496     -1.3320     40.7795    -73.9534
  0.2995      0.5394     -2.3297     -2.3233     -2.9409     -2.4455     40.7783    -73.9544
  0.5567      0.8273     -2.2688     -2.2948     -3.1345     -2.6114     40.7770    -73.9553
  1.0567      1.5188     -2.2444     -2.2036     -3.4040     -2.8729     40.7757    -73.9562
  1.2284      1.6610     -2.6722     -2.5077     -4.1620     -3.3151     40.7745    -73.9571
  1.0470      1.4426     -2.9155     -2.8073     -4.3341     -3.4078     40.7732    -73.9580
  1.0695      1.6042     -2.9583     -2.8872     -3.9347     -3.3051     40.7719    -73.9589
  0.0989      0.4049     -3.0330     -2.8640     -3.2206     -2.8076     40.7707    -73.9599
  0.1013      0.4178     -2.2995     -2.1356     -2.4794     -2.2287     40.7694    -73.9608
 -0.8411     -0.5542     -2.2578     -2.1311     -2.3063     -2.1305     40.7682    -73.9617
 -0.8962     -0.7374     -1.7830     -1.7294     -1.9991     -1.7068     40.7669    -73.9626
  0.1008      0.2971     -1.1545     -1.0794     -1.6247     -1.4490     40.7656    -73.9635
  0.7123      0.9302     -1.1513     -1.1181     -2.1451     -1.8275     40.7644    -73.9644
  0.7452      1.0742     -1.1222     -1.0220     -2.1647     -1.8224     40.7631    -73.9654
  0.1571      0.8183     -1.6198     -1.4993     -2.3329     -1.9963     40.7619    -73.9663
  0.2621      1.0076     -1.3460     -1.2725     -1.8908     -1.8199     40.7606    -73.9672
  1.8236      2.4795     -0.5723     -0.6237     -1.8321     -1.8777     40.7593    -73.9681
  1.9659      2.6369     -0.9369     -0.9314     -2.3220     -2.2349     40.7581    -73.9690
  1.3024      1.8057     -1.3695     -1.2409     -2.4254     -2.1285     40.7568    -73.9700
  1.2544      1.7348     -1.1521     -1.0212     -2.3603     -1.9905     40.7554    -73.9710
 -1.7257     -1.7095     -0.3815     -0.2997      0.8453      0.5368     40.7539    -73.9721
 -3.8766     -4.7000     -2.0268     -1.6527      0.7257      0.3295     40.7527    -73.9730
 -2.7651     -3.1845     -0.5323     -0.2859      2.1138      1.0958     40.7515    -73.9738
 -3.7871     -4.4904     -1.9729     -1.6651      1.3160      0.5746     40.7503    -73.9747
 -2.9618     -3.3072     -1.5819     -1.3601      0.7227      0.2176     40.7490    -73.9756
 -1.2650     -1.3508     -1.5900     -1.3222     -0.7253     -0.8596     40.7478    -73.9765
 -2.9022     -3.8112     -3.0995     -3.0457     -1.2692     -1.2774     40.7466    -73.9774
 -2.4480     -2.9370     -2.7023     -2.5476     -0.7285     -0.7811     40.7454    -73.9783
 -1.8620     -2.4439     -1.5220     -1.1605     -0.3981     -0.4651     40.7442    -73.9792
 -0.4733     -0.7130     -1.6069     -1.2836     -1.5767     -1.1739     40.7429    -73.9801
 -2.1692     -2.4239     -2.5473     -2.2063     -1.3471     -0.9866     40.7417    -73.9810
 -2.4022     -2.9875     -1.3324     -1.2159      0.5033      0.1547     40.7405    -73.9819
 -2.6254     -3.4101     -1.4399     -1.3372      0.6466      0.3212     40.7393    -73.9827
 -2.5429     -3.4018     -1.2692     -1.1919      0.8516      0.4942     40.7381    -73.9837
 -4.5765     -5.3939     -1.7893     -1.7572      2.3025      1.2665     40.7368    -73.9845
 -3.2560     -3.8592      0.1953      0.0799      3.5488      1.9262     40.7356    -73.9854
 -2.5218     -2.9604      0.1041      0.0921      2.2729      1.2953     40.7344    -73.9863
