Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
          16      20.0000      8.00000
       Tdiff        Tdev      RHdiff       RHdev      DPdiff       DPdev         lat         lon        NDVI   greenness      albedo  brightness   Bareafrac     Bheight   elevation   water500m
      0.4241      0.2763      0.0471     -0.1595     -0.8500     -0.2226     40.8009    -73.9391      0.3686     -0.0487      0.1237      0.2707      0.7372     13.7211      5.5661      0.0000
      0.6918      0.4602      0.1471     -0.1036     -1.2112     -0.2973     40.8002    -73.9376      0.2418     -0.0803      0.1575      0.3521      0.6518     28.3277      4.8727      0.0000
      0.7659      0.4880      0.1394     -0.1106     -1.2247     -0.3032     40.7996    -73.9361      0.1854     -0.0961      0.1634      0.3674      0.5844     35.9519      4.0558      0.0023
      0.9212      0.5596      0.1688     -0.0913     -1.2800     -0.3555     40.7989    -73.9345      0.3420     -0.0540      0.1387      0.3032      0.3048     36.1334      2.7781      0.1066
      0.8271      0.4727      0.1629     -0.0261     -0.8282     -0.2256     40.7981    -73.9326      0.2749     -0.0733      0.1577      0.3468      0.4107     38.1771      2.9829      0.2562
     -0.7300     -0.6513      0.3853      0.2912      2.2688      0.6497     40.7838    -73.9801      0.3005     -0.0638      0.1220      0.2684      0.6572     30.0160     21.9947      0.0431
     -0.2029     -0.1812      0.3288      0.2727      1.2294      0.2470     40.7830    -73.9783      0.2942     -0.0683      0.1195      0.2637      0.6216     41.0683     24.1636      0.0000
     -0.3171     -0.3643      0.0435     -0.0463      0.9094      0.1286     40.7823    -73.9765      0.3206     -0.0542      0.1028      0.2237      0.6893     25.3278     27.0408      0.0000
     -0.5612     -0.5893      0.0353     -0.0012      1.6641      0.3683     40.7825    -73.9751      0.3314     -0.0531      0.1033      0.2254      0.6600     22.7358     26.2730      0.0000
     -0.6406     -0.5819      0.1876      0.1633      2.1106      0.5222     40.7828    -73.9737      0.2861     -0.0635      0.1298      0.2844      0.6480     35.8398     26.5735      0.0000
     -0.6700     -0.5699      0.4059      0.4297      2.7259      0.7608     40.7822    -73.9722      0.8479      0.0826      0.1435      0.2938      0.6852     43.7145     27.9114      0.0000
     -0.3171     -0.2839      0.6941      0.6719      2.5688      0.7078     40.7814    -73.9708      0.7749      0.0404      0.1207      0.2502      0.2386     13.9462     27.0729      0.0000
     -0.4359     -0.4214      0.8594      0.8039      3.3824      0.8807     40.7805    -73.9694      0.7877      0.0566      0.1316      0.2705      0.0000      0.0000     31.0279      0.0000
     -0.6894     -0.6364      1.0159      0.9789      4.3459      1.2933     40.7796    -73.9681      0.7463      0.0422      0.1310      0.2739      0.0000      0.0000     31.8669      0.0000
     -0.3012     -0.2506      1.4518      1.4437      4.3988      1.3831     40.7788    -73.9667      0.7945      0.0307      0.1056      0.2183      0.0000      0.0000     33.0238      0.0000
     -0.0235     -0.0648      1.1194      1.0801      3.0288      0.8718     40.7779    -73.9653      0.8368      0.0833      0.1463      0.3006      0.0000      0.0000     23.7019      0.0000
     -0.4871     -0.4597      0.6618      0.6949      2.8124      0.8751     40.7770    -73.9640      0.8221      0.0702      0.1359      0.2789      0.7428     49.7376     22.8269      0.0000
     -0.1394     -0.1332      0.6788      0.7310      2.1176      0.6149     40.7763    -73.9623      0.2462     -0.0641      0.1041      0.2294      0.6657     38.5616     22.9484      0.0000
     -0.2118     -0.1887      0.3612      0.3833      1.5676      0.3474     40.7755    -73.9605      0.3248     -0.0532      0.1042      0.2272      0.6011     49.3327     21.4696      0.0000
     -0.2871     -0.2384      0.2300      0.2962      1.4012      0.2783     40.7748    -73.9587      0.3474     -0.0516      0.0962      0.2071      0.6118     37.2513     17.9845      0.0000
     -0.3135     -0.2699      0.1388      0.1666      1.0947      0.2255     40.7741    -73.9569      0.3702     -0.0470      0.1067      0.2311      0.6518     41.8923     16.3076      0.0000
     -0.2600     -0.1993      0.2418      0.2580      1.1453      0.2640     40.7733    -73.9551      0.3178     -0.0601      0.1038      0.2281      0.6546     23.9329     13.8961      0.0000
     -0.0894     -0.0536      0.3200      0.3461      0.9947      0.2361     40.7726    -73.9533      0.2976     -0.0679      0.1079      0.2370      0.6879     40.8437     12.9011      0.0159
     -0.1800     -0.1340      0.1541      0.1828      0.8935      0.2044     40.7718    -73.9515      0.2146     -0.0726      0.1114      0.2452      0.6554     47.5837     11.2999      0.0975
      0.0771      0.0265      0.2529      0.2518      0.6441      0.1677     40.7709    -73.9493      0.3951     -0.0450      0.0894      0.1916      0.6020     57.8854      7.9358      0.1950
     -0.4573     -0.3689      0.0087     -0.2084      0.6680      0.0220     40.7708    -73.9929      0.3285     -0.0524      0.1362      0.2967      0.6297     22.8308      5.3170      0.3084
     -0.2000     -0.1249     -0.2327     -0.3777     -0.4167     -0.2841     40.7701    -73.9913      0.1468     -0.0967      0.1408      0.3142      0.6990     35.7841      8.3821      0.1565
     -0.0200     -0.0280     -0.2793     -0.4734     -1.0547     -0.4280     40.7695    -73.9897      0.1785     -0.0927      0.1408      0.3160      0.7402     26.6087     13.8439      0.0499
      0.2600      0.2619     -0.1453     -0.2244     -1.1727     -0.5013     40.7688    -73.9880      0.1890     -0.0840      0.1309      0.2920      0.8008     31.5509     21.7593      0.0045
      0.1113      0.0961     -0.2113     -0.3050     -0.9573     -0.4671     40.7681    -73.9864      0.2454     -0.0849      0.1467      0.3199      0.5931     64.7664     24.7275      0.0000
      0.0487      0.0154     -0.0533     -0.2398     -0.3900     -0.2992     40.7674    -73.9847      0.3579     -0.0473      0.1172      0.2572      0.6512     75.6459     24.4778      0.0000
     -0.1007     -0.2007     -0.2907     -0.4256     -0.4347     -0.2875     40.7667    -73.9831      0.2355     -0.0589      0.1016      0.2223      0.6924     79.2670     23.7312      0.0000
