spatial SD among hobo hourly averages for T and DP
       6        2152
   year  month day   hour    Tsd     DPsd
    13     9     3    12   0.478   0.503
    13     9     3    13   0.342   0.333
    13     9     3    14   0.440   0.272
    13     9     3    15   0.288   0.188
    13     9     3    16   0.407   0.167
    13     9     3    17   0.251   0.209
    13     9     3    18   0.407   0.303
    13     9     3    19   0.470   0.408
    13     9     3    20   0.493   0.312
    13     9     3    21   0.517   0.257
    13     9     3    22   0.618   0.223
    13     9     3    23   0.601   0.208
    13     9     4     0   0.519   0.225
    13     9     4     1   0.537   0.170
    13     9     4     2   0.479   0.191
    13     9     4     3   0.385   0.151
    13     9     4     4   0.412   0.104
    13     9     4     5   0.440   0.095
    13     9     4     6   0.442   0.079
    13     9     4     7   0.470   0.087
    13     9     4     8   0.353   0.105
    13     9     4     9   0.891   0.166
    13     9     4    10   0.990   0.212
    13     9     4    11   0.664   0.352
    13     9     4    12   0.579   0.399
    13     9     4    13   0.404   0.248
    13     9     4    14   0.396   0.224
    13     9     4    15   0.318   0.290
    13     9     4    16   0.336   0.269
    13     9     4    17   0.355   0.218
    13     9     4    18   0.616   0.218
    13     9     4    19   0.399   0.228
    13     9     4    20   0.298   0.220
    13     9     4    21   0.364   0.168
    13     9     4    22   0.396   0.128
    13     9     4    23   0.484   0.106
    13     9     5     0   0.449   0.146
    13     9     5     1   0.431   0.170
    13     9     5     2   0.567   0.160
    13     9     5     3   0.513   0.172
    13     9     5     4   0.570   0.116
    13     9     5     5   0.686   0.150
    13     9     5     6   0.788   0.191
    13     9     5     7   0.753   0.177
    13     9     5     8   0.540   0.103
    13     9     5     9   0.622   0.156
    13     9     5    10   0.815   0.214
    13     9     5    11   0.396   0.228
    13     9     5    12   0.346   0.743
    13     9     5    13   0.345   1.114
    13     9     5    14   0.451   0.747
    13     9     5    15   0.461   0.675
    13     9     5    16   0.391   0.375
    13     9     5    17   0.302   0.304
    13     9     5    18   0.307   0.417
    13     9     5    19   0.379   0.367
    13     9     5    20   0.373   0.377
    13     9     5    21   0.494   0.447
    13     9     5    22   0.562   0.176
    13     9     5    23   0.546   0.218
    13     9     6     0   0.561   0.276
    13     9     6     1   0.544   0.274
    13     9     6     2   0.522   0.349
    13     9     6     3   0.555   0.386
    13     9     6     4   0.488   0.297
    13     9     6     5   0.441   0.250
    13     9     6     6   0.670   0.496
    13     9     6     7   0.557   0.715
    13     9     6     8   0.412   0.934
    13     9     6     9   0.490   0.352
    13     9     6    10   0.794   0.222
    13     9     6    11   0.501   0.335
    13     9     6    12   0.550   0.349
    13     9     6    13   0.567   0.272
    13     9     6    14   0.455   0.267
    13     9     6    15   0.434   0.446
    13     9     6    16   0.375   0.327
    13     9     6    17   0.377   0.433
    13     9     6    18   0.315   0.365
    13     9     6    19   0.495   0.780
    13     9     6    20   0.662   0.725
    13     9     6    21   0.594   0.326
    13     9     6    22   0.563   0.360
    13     9     6    23   0.382   0.161
    13     9     7     0   0.342   0.282
    13     9     7     1   0.381   0.319
    13     9     7     2   0.657   0.262
    13     9     7     3   0.583   0.290
    13     9     7     4   0.545   0.156
    13     9     7     5   0.617   0.133
    13     9     7     6   0.695   0.166
    13     9     7     7   0.745   0.217
    13     9     7     8   0.668   0.392
    13     9     7     9   1.131   0.566
    13     9     7    10   1.333   0.621
    13     9     7    11   0.810   0.339
    13     9     7    12   0.526   0.305
    13     9     7    13   0.338   0.321
    13     9     7    14   0.384   0.273
    13     9     7    15   0.354   0.428
    13     9     7    16   0.359   0.702
    13     9     7    17   0.522   1.015
    13     9     7    18   0.616   0.755
    13     9     7    19   0.503   0.458
    13     9     7    20   0.539   0.408
    13     9     7    21   0.555   0.858
    13     9     7    22   0.485   1.225
    13     9     7    23   0.400   0.644
    13     9     8     0   0.406   0.538
    13     9     8     1   0.418   0.385
    13     9     8     2   0.429   0.271
    13     9     8     3   0.467   0.214
    13     9     8     4   0.413   0.212
    13     9     8     5   0.442   0.318
    13     9     8     6   0.466   0.230
    13     9     8     7   0.483   0.337
    13     9     8     8   0.353   0.198
    13     9     8     9   0.799   0.178
    13     9     8    10   0.925   0.212
    13     9     8    11   0.676   0.203
    13     9     8    12   0.550   0.174
    13     9     8    13   0.441   0.195
    13     9     8    14   0.325   0.221
    13     9     8    15   0.400   0.282
    13     9     8    16   0.360   0.397
    13     9     8    17   0.298   0.258
    13     9     8    18   0.301   1.055
    13     9     8    19   0.362   0.566
    13     9     8    20   0.411   0.344
    13     9     8    21   0.576   0.515
    13     9     8    22   0.483   0.439
    13     9     8    23   0.485   0.447
    13     9     9     0   0.504   0.689
    13     9     9     1   0.627   0.452
    13     9     9     2   0.673   0.175
    13     9     9     3   0.664   0.379
    13     9     9     4   0.629   0.570
    13     9     9     5   0.721   0.419
    13     9     9     6   0.865   0.255
    13     9     9     7   0.905   0.315
    13     9     9     8   0.387   0.383
    13     9     9     9   0.515   0.263
    13     9     9    10   0.825   0.728
    13     9     9    11   0.497   0.986
    13     9     9    12   0.450   0.818
    13     9     9    13   0.413   0.565
    13     9     9    14   0.692   0.616
    13     9     9    15   0.576   0.196
    13     9     9    16   0.403   0.168
    13     9     9    17   0.525   0.165
    13     9     9    18   0.531   0.195
    13     9     9    19   0.452   0.268
    13     9     9    20   0.393   0.204
    13     9     9    21   0.280   0.190
    13     9     9    22   0.272   0.203
    13     9     9    23   0.255   0.196
    13     9    10     0   0.230   0.148
    13     9    10     1   0.240   0.119
    13     9    10     2   0.213   0.119
    13     9    10     3   0.194   0.123
    13     9    10     4   0.199   0.102
    13     9    10     5   0.164   0.092
    13     9    10     6   0.212   0.086
    13     9    10     7   0.378   0.114
    13     9    10     8   0.365   0.117
    13     9    10     9   0.370   0.106
    13     9    10    10   0.500   0.128
    13     9    10    11   0.624   0.132
    13     9    10    12   0.473   0.125
    13     9    10    13   0.399   0.144
    13     9    10    14   0.366   0.161
    13     9    10    15   0.385   0.170
    13     9    10    16   0.325   0.178
    13     9    10    17   0.399   0.177
    13     9    10    18   0.538   0.175
    13     9    10    19   0.447   0.158
    13     9    10    20   0.388   0.117
    13     9    10    21   0.414   0.129
    13     9    10    22   0.338   0.099
    13     9    10    23   0.418   0.078
    13     9    11     0   0.361   0.075
    13     9    11     1   0.263   0.073
    13     9    11     2   0.351   0.070
    13     9    11     3   0.373   0.099
    13     9    11     4   0.385   0.086
    13     9    11     5   0.430   0.089
    13     9    11     6   0.507   0.102
    13     9    11     7   0.445   0.112
    13     9    11     8   0.650   0.134
    13     9    11     9   1.088   0.178
    13     9    11    10   1.201   0.154
    13     9    11    11   0.828   0.156
    13     9    11    12   0.641   0.201
    13     9    11    13   0.506   0.312
    13     9    11    14   0.437   0.270
    13     9    11    15   0.441   0.175
    13     9    11    16   0.419   0.233
    13     9    11    17   0.466   0.268
    13     9    11    18   0.529   0.292
    13     9    11    19   0.460   0.199
    13     9    11    20   0.355   0.174
    13     9    11    21   0.323   0.171
    13     9    11    22   0.356   0.136
    13     9    11    23   0.383   0.120
    13     9    12     0   0.395   0.100
    13     9    12     1   0.403   0.104
    13     9    12     2   0.437   0.125
    13     9    12     3   0.415   0.104
    13     9    12     4   0.483   0.100
    13     9    12     5   0.468   0.114
    13     9    12     6   0.497   0.128
    13     9    12     7   0.451   0.090
    13     9    12     8   0.601   0.100
    13     9    12     9   0.878   0.158
    13     9    12    10   0.996   0.164
    13     9    12    11   1.086   0.177
    13     9    12    12   1.092   0.153
    13     9    12    13   0.680   0.340
    13     9    12    14   0.963   0.254
    13     9    12    15   0.451   0.337
    13     9    12    16   0.475   0.607
    13     9    12    17   0.488   0.219
    13     9    12    18   0.574   0.172
    13     9    12    19   0.608   0.215
    13     9    12    20   0.615   0.353
    13     9    12    21   0.621   0.259
    13     9    12    22   0.558   0.414
    13     9    12    23   0.545   0.329
    13     9    13     0   0.481   0.212
    13     9    13     1   0.474   0.147
    13     9    13     2   0.450   0.116
    13     9    13     3   0.426   0.138
    13     9    13     4   0.450   0.142
    13     9    13     5   0.550   0.073
    13     9    13     6   0.683   0.102
    13     9    13     7   0.667   0.118
    13     9    13     8   0.499   0.216
    13     9    13     9   0.578   0.396
    13     9    13    10   0.710   0.378
    13     9    13    11   0.483   0.264
    13     9    13    12   0.377   0.235
    13     9    13    13   0.303   0.181
    13     9    13    14   0.273   0.169
    13     9    13    15   0.355   0.233
    13     9    13    16   0.311   0.396
    13     9    13    17   0.282   0.319
    13     9    13    18   0.313   0.320
    13     9    13    19   0.313   0.308
    13     9    13    20   0.395   0.242
    13     9    13    21   0.432   0.292
    13     9    13    22   0.437   0.286
    13     9    13    23   0.379   0.230
    13     9    14     0   0.429   0.185
    13     9    14     1   0.443   0.172
    13     9    14     2   0.441   0.190
    13     9    14     3   0.433   0.172
    13     9    14     4   0.447   0.192
    13     9    14     5   0.460   0.203
    13     9    14     6   0.467   0.163
    13     9    14     7   0.433   0.213
    13     9    14     8   0.274   0.221
    13     9    14     9   0.803   0.226
    13     9    14    10   0.795   0.296
    13     9    14    11   0.591   0.222
    13     9    14    12   0.542   0.258
    13     9    14    13   0.288   0.257
    13     9    14    14   0.160   0.238
    13     9    14    15   0.277   0.212
    13     9    14    16   0.362   0.216
    13     9    14    17   0.319   0.163
    13     9    14    18   0.266   0.142
    13     9    14    19   0.335   0.164
    13     9    14    20   0.324   0.167
    13     9    14    21   0.387   0.139
    13     9    14    22   0.346   0.129
    13     9    14    23   0.492   0.142
    13     9    15     0   0.555   0.191
    13     9    15     1   0.503   0.208
    13     9    15     2   0.755   0.319
    13     9    15     3   0.781   0.308
    13     9    15     4   0.632   0.176
    13     9    15     5   0.589   0.210
    13     9    15     6   0.458   0.183
    13     9    15     7   0.491   0.147
    13     9    15     8   0.541   0.234
    13     9    15     9   0.966   0.296
    13     9    15    10   0.975   0.238
    13     9    15    11   0.746   0.199
    13     9    15    12   0.391   0.365
    13     9    15    13   0.355   0.494
    13     9    15    14   0.286   0.585
    13     9    15    15   0.304   0.662
    13     9    15    16   0.289   0.430
    13     9    15    17   0.262   0.409
    13     9    15    18   0.264   1.232
    13     9    15    19   0.398   0.923
    13     9    15    20   0.527   0.564
    13     9    15    21   0.641   0.734
    13     9    15    22   0.468   0.465
    13     9    15    23   0.348   0.342
    13     9    16     0   0.320   0.209
    13     9    16     1   0.249   0.210
    13     9    16     2   0.231   0.180
    13     9    16     3   0.329   0.176
    13     9    16     4   0.325   0.127
    13     9    16     5   0.322   0.113
    13     9    16     6   0.373   0.110
    13     9    16     7   0.488   0.138
    13     9    16     8   0.498   0.134
    13     9    16     9   0.439   0.219
    13     9    16    10   0.567   0.291
    13     9    16    11   0.559   0.476
    13     9    16    12   0.462   0.337
    13     9    16    13   0.275   0.382
    13     9    16    14   0.355   0.252
    13     9    16    15   0.463   0.327
    13     9    16    16   0.513   0.205
    13     9    16    17   0.451   0.203
    13     9    16    18   0.448   0.270
    13     9    16    19   0.424   0.509
    13     9    16    20   0.454   0.253
    13     9    16    21   0.446   0.177
    13     9    16    22   0.367   0.185
    13     9    16    23   0.577   0.400
    13     9    17     0   0.488   0.309
    13     9    17     1   0.508   0.410
    13     9    17     2   0.464   0.532
    13     9    17     3   0.538   0.407
    13     9    17     4   0.623   0.133
    13     9    17     5   0.603   0.228
    13     9    17     6   0.605   0.241
    13     9    17     7   0.541   0.207
    13     9    17     8   0.325   0.317
    13     9    17     9   0.603   0.351
    13     9    17    10   0.694   0.197
    13     9    17    11   0.505   0.198
    13     9    17    12   0.498   0.144
    13     9    17    13   0.691   0.327
    13     9    17    14   0.631   0.397
    13     9    17    15   0.575   0.260
    13     9    17    16   0.477   0.421
    13     9    17    17   0.451   0.390
    13     9    17    18   0.492   0.466
    13     9    17    19   0.775   0.485
    13     9    17    20   0.699   0.403
    13     9    17    21   0.410   0.205
    13     9    17    22   0.616   0.197
    13     9    17    23   0.916   0.222
    13     9    18     0   1.037   0.353
    13     9    18     1   0.928   0.250
    13     9    18     2   0.856   0.240
    13     9    18     3   0.823   0.406
    13     9    18     4   0.828   0.505
    13     9    18     5   0.670   0.424
    13     9    18     6   0.837   0.280
    13     9    18     7   0.883   0.357
    13     9    18     8   0.617   0.263
    13     9    18     9   1.030   0.275
    13     9    18    10   1.033   0.455
    13     9    18    11   0.731   0.309
    13     9    18    12   0.382   0.272
    13     9    18    13   0.385   0.379
    13     9    18    14   0.476   0.543
    13     9    18    15   0.354   0.339
    13     9    18    16   0.378   0.519
    13     9    18    17   0.603   0.988
    13     9    18    18   0.724   0.702
    13     9    18    19   0.625   0.496
    13     9    18    20   0.494   0.286
    13     9    18    21   0.450   0.164
    13     9    18    22   0.361   0.243
    13     9    18    23   0.329   0.151
    13     9    19     0   0.285   0.110
    13     9    19     1   0.368   0.167
    13     9    19     2   0.569   0.215
    13     9    19     3   0.651   0.359
    13     9    19     4   0.659   0.361
    13     9    19     5   0.740   0.296
    13     9    19     6   0.747   0.326
    13     9    19     7   0.758   0.334
    13     9    19     8   0.713   0.394
    13     9    19     9   1.168   0.402
    13     9    19    10   1.132   0.314
    13     9    19    11   0.759   0.269
    13     9    19    12   0.384   0.306
    13     9    19    13   0.295   0.248
    13     9    19    14   0.301   0.429
    13     9    19    15   0.249   0.503
    13     9    19    16   0.481   0.649
    13     9    19    17   0.677   0.780
    13     9    19    18   0.711   0.351
    13     9    19    19   0.614   0.198
    13     9    19    20   0.511   0.336
    13     9    19    21   0.727   0.299
    13     9    19    22   0.879   0.272
    13     9    19    23   0.962   0.254
    13     9    20     0   0.598   0.417
    13     9    20     1   0.500   0.287
    13     9    20     2   0.605   0.166
    13     9    20     3   0.667   0.123
    13     9    20     4   0.702   0.103
    13     9    20     5   0.818   0.158
    13     9    20     6   0.902   0.151
    13     9    20     7   0.928   0.130
    13     9    20     8   0.816   0.129
    13     9    20     9   1.197   0.198
    13     9    20    10   0.972   0.200
    13     9    20    11   0.742   0.230
    13     9    20    12   0.423   0.257
    13     9    20    13   0.371   0.397
    13     9    20    14   0.407   0.378
    13     9    20    15   0.501   0.196
    13     9    20    16   0.553   0.154
    13     9    20    17   0.665   0.195
    13     9    20    18   0.577   0.223
    13     9    20    19   0.506   0.165
    13     9    20    20   0.481   0.206
    13     9    20    21   0.450   0.321
    13     9    20    22   0.347   0.233
    13     9    20    23   0.264   0.190
    13     9    21     0   0.269   0.138
    13     9    21     1   0.286   0.136
    13     9    21     2   0.391   0.133
    13     9    21     3   0.368   0.145
    13     9    21     4   0.307   0.195
    13     9    21     5   0.398   0.251
    13     9    21     6   0.491   0.171
    13     9    21     7   0.412   0.124
    13     9    21     8   0.277   0.140
    13     9    21     9   0.195   0.131
    13     9    21    10   0.205   0.118
    13     9    21    11   0.657   0.410
    13     9    21    12   1.088   0.557
    13     9    21    13   1.190   0.399
    13     9    21    14   0.835   0.653
    13     9    21    15   0.825   0.601
    13     9    21    16   0.750   0.380
