Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
          16      20.0000      8.00000
       Tdiff        Tdev      RHdiff       RHdev      DPdiff       DPdev         lat         lon        NDVI   greenness      albedo  brightness   Bareafrac     Bheight   elevation   water500m
     -0.1118     -0.1053      0.8482     -0.2302      2.5109      0.6108     40.7820    -73.9791      0.3528     -0.0513      0.0909      0.1968      0.7171     41.1811     23.8587      0.0000
      0.2591      0.3535      0.9082     -0.1591      1.7527      0.4198     40.7807    -73.9801      0.3273     -0.0573      0.1071      0.2306      0.6825     30.0645     23.7092      0.0000
      0.1009      0.2263      0.8182     -0.2416      1.8218      0.4137     40.7793    -73.9811      0.2043     -0.0793      0.1199      0.2631      0.7284     44.7349     23.1901      0.0023
     -0.1418     -0.1418      0.7345     -0.3616      2.1573      0.5023     40.7780    -73.9821      0.3395     -0.0531      0.1196      0.2610      0.6857     30.5739     23.0760      0.0023
     -0.2327     -0.2586      0.8936     -0.2150      2.8227      0.6893     40.7760    -73.9835      0.4394     -0.0439      0.0848      0.1833      0.5088     77.2007     22.2007      0.0068
      1.0083      1.0330     -1.7383     -0.2150     -7.1200     -1.7901     40.7742    -73.9849      0.3911     -0.0417      0.1460      0.3187      0.6648     52.8653     18.8566      0.0204
      1.4383      1.4806     -1.6875     -0.1963     -7.8767     -1.9433     40.7729    -73.9858      0.7544      0.0305      0.1159      0.2402      0.3338    128.6964     20.9811      0.0136
      1.0583      1.0909     -1.9792     -0.4214     -7.8608     -1.9435     40.7717    -73.9867      0.2483     -0.0708      0.1189      0.2637      0.7477    204.8335     24.5660      0.0181
      0.7033      0.8221     -1.6075     -0.0932     -6.3442     -1.5883     40.7704    -73.9876      0.3050     -0.0562      0.1068      0.2334      0.5030     76.7973     22.2597      0.0227
      0.7925      0.9011     -1.3858      0.0700     -6.0450     -1.5187     40.7691    -73.9885      0.2074     -0.0754      0.1127      0.2498      0.7612     30.8107     20.2567      0.0159
      0.9533      1.0201     -1.3017      0.1637     -6.0825     -1.5125     40.7679    -73.9894      0.4213     -0.0478      0.0835      0.1784      0.6418     36.9943     12.2270      0.0091
