Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
      14      20       8
        Tdev         Tsd       RHdev        RHsd       DPdev        DPsd         lat         lon        ndvi      albedo        area      height   elevation   water500m
      1.4383      1.4806     -1.6875     -0.1963     -7.8767     -1.9433     40.7729    -73.9858      0.3636      0.1361      0.5670     38.3304     20.9811      0.0136
      1.0583      1.0909     -1.9792     -0.4214     -7.8608     -1.9435     40.7717    -73.9867      0.2440      0.1492      0.3362     27.0458     24.5660      0.0181
      0.7033      0.8221     -1.6075     -0.0932     -6.3442     -1.5883     40.7704    -73.9876      0.2667      0.1406      0.3029     50.9564     22.2597      0.0227
      0.7925      0.9011     -1.3858      0.0700     -6.0450     -1.5187     40.7691    -73.9885      0.2667      0.1406      0.3029     50.9564     20.2567      0.0159
      0.9533      1.0201     -1.3017      0.1637     -6.0825     -1.5125     40.7679    -73.9894      0.1544      0.1385      0.5114     23.9770     12.2270      0.0091
      1.0425      1.1443     -1.3958      0.1105     -6.5125     -1.5944     40.7666    -73.9903      0.1544      0.1385      0.5114     23.9770     10.2192      0.0045
      0.7533      0.8422     -1.7117     -0.1184     -6.7058     -1.6058     40.7654    -73.9912      0.1678      0.1321      0.4789     17.3398     10.9046      0.0091
      0.8650      0.9438     -1.3533      0.2182     -6.0817     -1.4777     40.7641    -73.9922      0.1678      0.1321      0.4789     17.3398     12.0575      0.0272
      1.2975      1.4321     -1.0950      0.4082     -6.3850     -1.5745     40.7629    -73.9931      0.1555      0.1268      0.5363     19.1468      8.4144      0.0295
      1.0625      1.2293     -1.4942      0.0843     -6.8233     -1.6616     40.7616    -73.9940      0.1793      0.1361      0.3834     16.2124      8.4747      0.0227
      0.9642      1.1467     -1.5567      0.0547     -6.7017     -1.6000     40.7604    -73.9949      0.1417      0.1297      0.5091     15.8734      7.2186      0.0204
